fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,resp.rt,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.6,left,1,,,,,,,stim/both.png,stim/incongLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.84800005,,,3,0,3,0,1,2,2,0,96,17,1,95
0.8,left,1,,,,,,,stim/lower.png,stim/incongRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.781000137,,,3,0,3,0,1,2,2,0,96,28,1,95
0.65,left,1,,,,,,,stim/centre.png,stim/neutralRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.529999971,,,3,0,3,0,1,2,2,0,96,46,1,95
0.6,right,1,,,,,,,stim/blank.png,stim/neutralRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.713000059,,,3,0,3,0,1,2,2,0,96,43,1,95
1.05,right,1,,,,,,,stim/lower.png,stim/incongLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.930000067,,,3,0,3,0,1,2,2,0,96,20,1,95
1.05,left,1,,,,,,,stim/upper.png,stim/congLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.445999861,,,3,0,3,0,1,2,2,0,96,0,1,95
1.45,left,1,,,,,,,stim/centre.png,stim/incongLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.713999987,,,3,0,3,0,1,2,2,0,96,18,1,95
0.8,right,1,,,,,,,stim/upper.png,stim/neutralRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.595999956,,,3,0,3,0,1,2,2,0,96,40,1,95
1.15,left,1,,,,,,,stim/lower.png,stim/congRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.597000122,,,3,0,3,0,1,2,2,0,96,12,1,95
0.45,right,1,,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.647000074,,,3,0,3,0,1,2,2,0,96,39,1,95
0.45,right,1,,,,,,,stim/both.png,stim/congRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.679999828,,,3,0,3,0,1,2,2,0,96,9,1,95
1.25,left,1,,,,,,,stim/both.png,stim/neutralLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.613000154,,,3,0,3,0,1,2,2,0,96,33,1,95
1.35,right,1,,,,,,,stim/centre.png,stim/incongLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,1.08100009,,,3,0,3,0,1,2,2,0,96,22,1,95
0.8,right,1,,,,,,,stim/both.png,stim/neutralRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.530999899,,,3,0,3,0,1,2,2,0,96,41,1,95
1.3,left,1,,,,,,,stim/lower.png,stim/incongRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.729000092,,,3,0,3,0,1,2,2,0,96,28,1,95
0.75,right,1,,,,,,,stim/blank.png,stim/congLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.513000011,,,3,0,3,0,1,2,2,0,96,7,1,95
1.25,left,1,,,,,,,stim/centre.png,stim/congRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.412999868,,,3,0,3,0,1,2,2,0,96,14,1,95
0.85,right,1,,,,,,,stim/blank.png,stim/incongLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.663999796,,,3,0,3,0,1,2,2,0,96,23,1,95
1.15,left,1,,,,,,,stim/both.png,stim/congRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.463000059,,,3,0,3,0,1,2,2,0,96,13,1,95
0.55,right,0,,,,,,,stim/blank.png,stim/incongLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.579999924,,,3,0,3,0,1,2,2,0,96,19,1,95
1.4,left,1,,,,,,,stim/lower.png,stim/neutralRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.563999891,,,3,0,3,0,1,2,2,0,96,44,1,95
0.7,right,1,,,,,,,stim/centre.png,stim/congLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.696999788,,,3,0,3,0,1,2,2,0,96,6,1,95
0.9,right,1,,,,,,,stim/centre.png,stim/neutralRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.710999966,,,3,0,3,0,1,2,2,0,96,42,1,95
1.4,left,1,,,,,,,stim/both.png,stim/incongRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,1.062999964,,,3,0,3,0,1,2,2,0,96,29,1,95
0.4,left,1,,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.697000027,,,3,0,3,0,1,2,2,0,96,35,1,95
0.8,left,1,,,,,,,stim/centre.png,stim/congLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.548000097,,,3,0,3,0,1,2,2,0,96,2,1,95
1.35,right,1,,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.596999884,,,3,0,3,0,1,2,2,0,96,36,1,95
1.3,left,1,,,,,,,stim/centre.png,stim/incongRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.730000019,,,3,0,3,0,1,2,2,0,96,30,1,95
0.55,right,1,,,,,,,stim/lower.png,stim/congLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.515000105,,,3,0,3,0,1,2,2,0,96,4,1,95
1.1,right,1,,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.730000019,,,3,0,3,0,1,2,2,0,96,38,1,95
1.35,right,1,,,,,,,stim/blank.png,stim/congRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.480999947,,,3,0,3,0,1,2,2,0,96,11,1,95
1.15,right,1,,,,,,,stim/both.png,stim/congLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.480999947,,,3,0,3,0,1,2,2,0,96,5,1,95
1.2,left,0,,,,,,,stim/blank.png,stim/incongRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,1.230999947,,,3,0,3,0,1,2,2,0,96,27,1,95
0.95,right,1,,,,,,,stim/centre.png,stim/incongRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.695999861,,,3,0,3,0,1,2,2,0,96,26,1,95
0.8,right,1,,,,,,,stim/centre.png,stim/congRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.479000092,,,3,0,3,0,1,2,2,0,96,10,1,95
1,left,1,,,,,,,stim/blank.png,stim/incongRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.712999821,,,3,0,3,0,1,2,2,0,96,31,1,95
1.45,left,1,,,,,,,stim/both.png,stim/incongLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.711999893,,,3,0,3,0,1,2,2,0,96,17,1,95
0.55,left,1,,,,,,,stim/blank.png,stim/congRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.53000021,,,3,0,3,0,1,2,2,0,96,15,1,95
1.1,right,1,,,,,,,stim/upper.png,stim/incongRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.763000011,,,3,0,3,0,1,2,2,0,96,24,1,95
1.5,right,1,,,,,,,stim/upper.png,stim/congRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.546000004,,,3,0,3,0,1,2,2,0,96,8,1,95
1.1,left,1,,,,,,,stim/both.png,stim/congLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.496000051,,,3,0,3,0,1,2,2,0,96,1,1,95
0.4,right,1,,,,,,,stim/both.png,stim/incongRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.729000092,,,3,0,3,0,1,2,2,0,96,25,1,95
1.1,left,1,,,,,,,stim/both.png,stim/neutralRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.613000154,,,3,0,3,0,1,2,2,0,96,45,1,95
1.3,right,1,,,,,,,stim/both.png,stim/neutralLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.628999949,,,3,0,3,0,1,2,2,0,96,37,1,95
0.45,left,1,,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.612999916,,,3,0,3,0,1,2,2,0,96,34,1,95
0.55,left,1,,,,,,,stim/blank.png,stim/neutralRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.614000082,,,3,0,3,0,1,2,2,0,96,47,1,95
0.65,left,1,,,,,,,stim/blank.png,stim/congLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.511999846,,,3,0,3,0,1,2,2,0,96,3,1,95
1.45,right,1,,,,,,,stim/both.png,stim/incongLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.730000019,,,3,0,3,0,1,2,2,0,96,21,1,95
1.35,left,1,,,,,,,stim/upper.png,stim/incongLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.747000217,,,3,0,3,0,1,2,2,0,96,16,1,95
0.55,left,1,,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.546999931,,,3,0,3,0,1,2,2,0,96,32,1,95
,,,,,,,,,,,,,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,,,,3,0,3,0,1,2,,,,,,
0.8,right,1,,,,,,,stim/both.png,stim/incongRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.814999819,,,3,0,3,0,1,2,2,0,96,25,1,95
0.4,left,1,,,,,,,stim/lower.png,stim/incongRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.796000004,,,3,0,3,0,1,2,2,0,96,28,1,95
0.75,right,1,,,,,,,stim/blank.png,stim/congLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.546999931,,,3,0,3,0,1,2,2,0,96,7,1,95
1.15,left,1,,,,,,,stim/both.png,stim/neutralRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.529999971,,,3,0,3,0,1,2,2,0,96,45,1,95
0.8,left,1,,,,,,,stim/blank.png,stim/neutralRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.496999979,,,3,0,3,0,1,2,2,0,96,47,1,95
0.95,right,1,,,,,,,stim/centre.png,stim/congLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.680000067,,,3,0,3,0,1,2,2,0,96,6,1,95
1,left,1,,,,,,,stim/blank.png,stim/congLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.494999886,,,3,0,3,0,1,2,2,0,96,3,1,95
1.15,right,1,,,,,,,stim/upper.png,stim/neutralRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.496999979,,,3,0,3,0,1,2,2,0,96,40,1,95
